Entity,Code,"Cardiovascular diseases","High Body-Mass Index","Lack of Protein","High Fasting Plasma Glucose","Protein-Energy Malnutrition","Digestive Diseases"
Albania,ALB,349.8244,69.36065,6.0,49.371452,0.39,14.276391
Antigua and Barbuda,ATG,213.94537,81.011826,5.55,150.66737,1.13,32.259327
Argentina,ARG,216.99747,73.94354,8.28,71.95559,4.12,27.378267
Armenia,ARM,332.6742,101.00166,0.25,148.35031,0.06,19.465801
Australia,AUS,154.0971,53.65942,0.05,57.869183,0.33,13.825218
Austria,AUT,235.8798,55.2018,0.01,49.358395,0.0,25.984587
Azerbaijan,AZE,493.88245,134.68825,5.92,116.73326,0.8,46.04058
Bahamas,BHS,221.27394,118.37488,4.34,125.63487,1.41,32.567436
Bahrain,BHR,219.77643,183.99872,0.55,270.84457,0.78,30.956795
Barbados,BRB,192.03613,95.20393,2.93,138.35512,2.32,25.15195
Belarus,BLR,498.23938,130.37373,1.26,83.92472,0.35,23.033125
Belgium,BEL,173.59244,44.67516,0.03,45.303726,1.31,23.52143
Belize,BLZ,518.6093,123.03947,18.8,135.63252,4.65,38.52776
Brazil,BRA,227.87212,82.77841,37.22,88.72411,6.31,33.705433
Brunei,BRN,239.88377,65.90242,0.04,253.54442,0.1,14.544878
Bulgaria,BGR,552.07355,192.71419,0.25,157.00943,0.11,23.549133
Canada,CAN,149.12917,53.30072,0.04,50.1268,0.6,17.138287
Chile,CHL,159.4578,69.03213,0.8,63.060165,3.47,40.819195
Colombia,COL,201.25258,60.22793,22.2,93.08929,5.59,27.197458
Costa Rica,CRI,169.33978,58.256657,1.22,74.2757,0.48,35.03633
Croatia,HRV,418.54465,101.162476,0.02,106.75247,0.0,41.83226
Cuba,CUB,225.66106,55.482292,0.95,80.10311,0.51,22.72543
Cyprus,CYP,177.823,71.82652,0.02,172.15288,0.04,5.1610136
Czechia,CZE,342.27258,108.931816,0.01,132.13211,0.11,28.203205
Denmark,DNK,183.12325,47.58489,0.03,46.744293,0.96,29.589218
Dominican Republic,DOM,135.3624,46.2667,26.55,53.125423,3.14,21.414375
Ecuador,ECU,151.84665,73.06266,31.97,79.784935,6.8,33.990368
Egypt,EGY,343.8625,182.73387,3.58,113.82348,2.19,68.84565
El Salvador,SLV,154.4828,69.49599,14.66,92.96187,4.49,40.3093
Estonia,EST,418.51855,120.898155,0.47,80.41353,0.22,31.374762
Finland,FIN,216.72484,54.161133,0.02,68.152245,0.04,23.630575
France,FRA,123.24474,36.97319,0.04,29.442007,4.63,22.413578
Georgia,GEO,508.78705,149.00554,0.04,111.76798,0.03,23.4106
Germany,DEU,215.06265,61.556953,0.01,88.542435,0.09,27.496887
Greece,GRC,248.34215,61.010593,0.02,55.55667,0.0,13.423841
Guadeloupe,GLP,136.50023,0.0,0.0,0.0,0.0,26.182604
Guatemala,GTM,132.72223,50.996403,39.07,130.54745,32.42,62.321735
Hong Kong,HKG,111.6899,0.0,0.0,0.0,0.0,17.167625
Hungary,HUN,408.47653,130.48303,0.18,122.417595,0.08,71.91316
Iceland,ISL,166.58582,44.812656,0.01,35.207172,0.36,11.869413
Ireland,IRL,234.03299,61.71572,0.01,43.497196,0.31,20.242365
Israel,ISR,146.48653,63.306396,0.05,101.311874,0.25,16.264454
Italy,ITA,174.53062,47.115067,0.02,68.27342,0.23,21.34164
Jamaica,JAM,185.97723,97.57622,4.83,158.62633,3.28,16.498556
Japan,JPN,109.44353,17.385145,0.06,29.724392,0.98,15.636759
Kazakhstan,KAZ,597.82,202.36205,1.43,149.00896,0.47,42.56566
Kuwait,KWT,291.7579,122.56555,0.04,127.882996,0.01,15.754374
Kyrgyzstan,KGZ,507.87973,119.41148,0.74,70.725815,0.36,55.402893
Latvia,LVA,447.93152,123.764626,0.34,78.18317,0.06,28.505228
Lithuania,LTU,382.1818,100.749214,0.14,55.676685,0.03,26.987192
Luxembourg,LUX,173.10283,51.085594,0.04,43.0225,0.15,28.996273
Malaysia,MYS,113.08715,69.68503,0.36,133.90096,0.63,14.106562
Maldives,MDV,31.486345,32.888203,4.96,123.99967,1.96,164.75053
Malta,MLT,239.82756,55.836224,0.01,99.95453,0.0,16.894836
Martinique,MTQ,140.59314,0.0,0.0,0.0,0.0,19.372194
Mauritius,MUS,431.32642,110.01263,0.43,204.33449,0.25,41.62817
Mexico,MEX,148.44194,93.95783,19.3,134.15395,10.23,61.93515
Moldova,MDA,622.2433,124.94557,0.19,103.97646,0.18,95.516975
Montenegro,MNE,383.9554,126.522514,0.23,124.33992,0.1,14.727762
Netherlands,NLD,174.07285,45.76597,0.03,53.834038,0.49,19.353796
New Zealand,NZL,182.04431,56.623394,0.01,44.735397,0.13,12.023574
North Macedonia,MKD,458.725,166.761,0.12,207.23906,0.03,14.793321
Norway,NOR,180.9936,38.472134,0.01,59.486656,0.0,15.931363
Panama,PAN,137.97401,39.154503,42.65,85.45952,7.91,19.316956
Paraguay,PRY,155.70454,72.86667,13.58,81.71855,4.15,20.832073
Peru,PER,96.43279,43.621593,32.79,41.02778,9.42,34.511425
Philippines,PHL,326.4922,52.662365,17.59,113.141205,3.83,41.990475
Poland,POL,332.57703,107.501976,0.08,93.16089,0.22,29.51254
Portugal,PRT,199.38426,58.73595,0.5,96.032616,0.7,24.686491
Puerto Rico,PRI,154.79091,92.48625,0.4,119.21256,0.0,33.37321
Romania,ROU,497.814,135.00575,0.32,78.317505,0.2,49.03865
Russia,RUS,602.8271,162.52873,0.29,115.22222,0.23,34.759857
Saint Lucia,LCA,171.73302,99.37833,6.94,172.52127,4.44,26.57419
Saint Vincent and the Grenadines,VCT,240.14275,103.06905,17.0,202.70663,10.47,36.194653
Serbia,SRB,489.67435,150.50911,0.26,161.88734,0.06,24.70499
Singapore,SGP,189.36967,31.814669,0.01,70.8203,0.06,9.583622
Slovakia,SVK,397.6634,128.08232,0.07,90.052475,0.05,40.09683
Slovenia,SVN,232.4933,79.23527,0.02,69.522415,0.0,41.760357
South Africa,ZAF,314.50928,159.00377,27.93,158.93846,6.23,39.138798
South Korea,KOR,148.75587,39.129593,0.04,78.76855,0.65,34.07807
Spain,ESP,145.89314,53.233555,0.06,70.94193,0.36,24.48359
Sri Lanka,LKA,161.67302,53.26777,1.22,140.48047,0.59,29.022444
Suriname,SUR,236.38187,94.786644,16.27,145.82852,3.26,43.299366
Sweden,SWE,187.6218,44.97177,0.02,54.011105,0.75,14.500412
Switzerland,CHE,153.11679,39.150753,0.01,51.255543,0.4,17.012535
Syria,SYR,401.13794,160.23601,3.64,191.38257,0.71,13.4673195
Tajikistan,TJK,397.4276,63.73424,3.8,86.10301,1.35,35.156384
Thailand,THA,58.540257,40.025036,0.96,78.28529,1.5,15.53999
Trinidad and Tobago,TTO,344.0034,164.80501,3.54,249.12103,2.85,31.504927
Turkmenistan,TKM,592.894,165.51735,0.83,98.68824,0.34,44.930264
